System,CarLike
Controller,Stanley_CTRL
dt,0.1
state_init,[2.   0.   1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,2.0,0.0,1.57,1,0.1,-0.22000000000000003,-0.284
0.0011,1.9999998465522102,-0.0001999478582698468,1.5700583628145701,1,0.2,-0.22000000000000003,-0.284
0.006293535907664572,1.99999919389987,-0.0013425255662599146,1.5703918699758495,1,0.30000000000000004,-0.22000000000000003,-0.284
0.056293535907664574,2.000012404216207,-0.012342512908829675,1.573602660920677,1,0.4,-0.22000000000000003,-0.284
0.10629353590766458,2.000060933063519,-0.02334240113554049,1.5768134518655046,1,0.5,1,0.005937603731692786
0.1562935359076646,1.9997728293280856,0.021097009955503395,1.5773759260473095,1,0.6,1.0,0.005937603731692786
0.20629353590766458,1.999436429812767,0.07109587811272881,1.577672809722794,1,0.7,1,0.0068018118044002466
0.25629353590766457,1.9990843031130496,0.12109463797745877,1.5780089669495414,1,0.7999999999999999,1.0,0.0068018118044002466
0.30629353590766456,1.9987151720644332,0.17109327514060588,1.5783490627845818,1,0.8999999999999999,1.0,0.0068018118044002466
0.35629353590766455,1.9983290367092355,0.2210917838722726,1.5786891586196221,1,0.9999999999999999,1,0.007966942730969684
0.40629353590766454,1.9979247061442278,0.2710901487795163,1.579082204052757,1,1.0999999999999999,1.0,0.007966942730969684
0.4562935359076645,1.9975004584857643,0.3210883485557529,1.579480559617506,1,1.2,1.0,0.007966942730969684
0.5062935359076646,1.9970562938003806,0.37108637536354244,1.5798789151822552,1,1.3,1,0.009509382043309417
0.5562935359076646,1.9965906355238907,0.42108420663847207,1.5803473687329257,1,1.4000000000000001,1.0,0.009509382043309417
0.6062935359076647,1.9961012041620632,0.47108181067947713,1.5808228521675711,1,1.5000000000000002,1,0.010851159909212408
0.6562935359076647,1.9955866282755248,0.5210791622408807,1.5813593159512338,1,1.6000000000000003,1.0,0.010851159909212408
0.7062935359076647,1.995044924939879,0.5710762271163754,1.5819018952426775,1,1.7000000000000004,1,0.01249279382209455
0.7562935359076648,1.9944744162211212,0.6210729715874445,1.5825190850060746,1,1.8000000000000005,1.0,0.01249279382209455
0.8062935359076648,1.9938726760422263,0.6710693497308885,1.5831437571950258,1,1.9000000000000006,1,0.0145063417108077
0.8562935359076649,1.993237646306795,0.7210653161331402,1.5838599471613644,1,2.0000000000000004,1.0,0.0145063417108077
0.9062935359076649,1.992566351273012,0.7710608084635616,1.5845853151283007,1,2.1000000000000005,1,0.016987846956450326
0.956293535907665,1.9918562544801313,0.8210557647697923,1.5854234774396645,1,2.2000000000000006,1.0,0.016987846956450326
1.006293535907665,1.9911036885364497,0.8710500993904849,1.5862729515047673,1,2.3000000000000007,1,0.020061723869068786
1.056293535907665,1.9903055113770118,0.9210437266926513,1.5872621589184468,1,2.400000000000001,1.0,0.020061723869068786
1.106293535907665,1.989457179993044,0.9710365274162105,1.5882653797051929,1,2.500000000000001,1,0.023889979008017898
1.1562935359076651,1.9885547809691089,1.0210283815826602,1.5894426510285118,1,2.600000000000001,1.0,0.023889979008017898
1.2062935359076652,1.9875926560432844,1.0710191209076412,1.590637377276702,1,2.700000000000001,1,0.028684668293169305
1.2562935359076652,1.986565903373174,1.1210085749346745,1.5920501382422911,1,2.800000000000001,1.0,0.028684668293169305
1.3062935359076653,1.9854674356044881,1.1709965028751186,1.5934847651537514,1,2.9000000000000012,1,0.034724835586645804
1.3562935359076653,1.9842910765538575,1.2209826590669794,1.595194150555157,1,3.0000000000000013,1.0,0.034724835586645804
1.4062935359076654,1.9830278964345511,1.2709666939926716,1.5969310905329182,1,3.1000000000000014,1,0.04237966001061655
1.4562935359076654,1.9816700658933053,1.3209482483659067,1.5990164056956413,1,3.2000000000000015,1.0,0.04237966001061655
1.5062935359076655,1.9802062650910193,1.370926807275253,1.6011366581978306,1,3.3000000000000016,1,0.05214024462688675
1.5562935359076655,1.9786265063566255,1.420901837282179,1.6037014537943142,1,3.4000000000000017,1.0,0.05214024462688675
1.6062935359076655,1.976916349674755,1.4708725681715045,1.606310831076472,1,3.5000000000000018,1,0.0646634813251174
1.6562935359076656,1.975062970735059,1.520838195608119,1.609491251151876,1,3.600000000000002,1.0,0.0646634813251174
1.7062935359076656,1.9730478291363536,1.570797549291469,1.6127289391291812,1,3.700000000000002,1,0.08083284345994068
1.7562935359076657,1.9708543457556547,1.6207493970133748,1.6167053254965007,1,3.800000000000002,1.0,0.08083284345994068
1.8062935359076657,1.9684585534731847,1.670691931604283,1.6207557933642514,1,3.900000000000002,1,0.10184293019378846
1.8562935359076658,1.9658388635261006,1.7206232341621182,1.625769062444771,1,4.000000000000002,1.0,0.10184293019378846
1.9062935359076658,1.9629640705129614,1.770540466912822,1.6308788875208404,1,4.100000000000001,1,0.1293172365121056
1.9562935359076659,1.9598058399592235,1.8204405899785994,1.63725413047094,1,4.200000000000001,1.0,0.1293172365121056
2.0062935359076657,1.956323224360447,1.87031906810999,1.6437562777923607,1,4.300000000000001,1.0,0.1293172365121056
2.0562935359076655,1.9525163674525419,1.920173847545819,1.6502584251137813,1,4.4,1,0.1841645311665231
2.1062935359076653,1.9483281415697506,1.9699981703006426,1.6593159205049977,1,4.5,1.0,0.1841645311665231
2.156293535907665,1.9436760729191316,2.019781100961698,1.6686296828946174,1,4.6,1.0,0.1841645311665231
2.206293535907665,1.9385605463579048,2.0695185447634747,1.6779434452842372,1,4.699999999999999,1,0.2660283791611193
2.256293535907665,1.9328944088598166,2.1191965979457534,1.6911749023109546,1,4.799999999999999,1.0,0.2660283791611193
2.3062935359076646,1.9265520534366611,2.1687923221212393,1.7047992513499883,1,4.899999999999999,1.0,0.2660283791611193
2.3562935359076644,1.9195345980948804,2.2182970355264358,1.718423600389022,1,4.999999999999998,1,0.38950025180101777
2.4062935359076643,1.9117038856743975,2.267680507533228,1.7383183099863073,1,5.099999999999998,1.0,0.38950025180101777
2.456293535907664,1.9028616060524703,2.3168915463256603,1.7588418523043343,1,5.1999999999999975,1.0,0.38950025180101777
2.506293535907664,1.893011274684001,2.3659107590883517,1.7793653946223613,1,5.299999999999997,1,0.5762658787658235
2.5562935359076637,1.8819177476145192,2.4146664793906427,1.8107667228069428,1,5.399999999999997,1.0,0.5762658787658235
2.6062935359076635,1.869247185418473,2.4630321378125593,1.8432589464222677,1,5.4999999999999964,1.0,0.5762658787658235
2.6562935359076634,1.8550120797879193,2.510960645286049,1.8757511700375926,1,5.599999999999996,1,0.8567790426908364
2.706293535907663,1.8387352476036019,2.5582488455344015,1.9311543735048835,1,5.699999999999996,1.0,0.8567790426908364
2.756293535907663,1.8197650688937546,2.604502913180191,1.9888552397080448,1,5.799999999999995,1.0,0.8567790426908364
2.806293535907663,1.798159041937348,2.649586014817322,2.0465561059112063,1,5.899999999999995,1,1.2779311409689489
2.8562935359076627,1.7719566850674904,2.692489944939832,2.2025194906656527,1,5.999999999999995,1.0,1.2779311409689489
2.9062935359076625,1.7392272344190036,2.7302134133657314,2.368337282724669,1,6.099999999999994,1.0,1.2779311409689489
2.9562935359076623,1.70072011418676,2.7620171663086013,2.534155074783685,1,6.199999999999994,1,2.089201129666531
3.006293535907662,1.6585772016614526,2.7919775051982767,2.4696069040068456,1,6.299999999999994,1.0,2.089201129666531
3.056293535907662,1.620861217787874,2.824778487141917,2.3819561295072122,1,6.399999999999993,1.0,2.089201129666531
3.1062935359076618,1.5861613722622943,2.8607551542543654,2.294305355007579,1,6.499999999999993,1,1.731095526695477
3.1562935359076616,1.557530910874311,2.903152656722931,2.005261858205242,1,6.5999999999999925,1.0,1.731095526695477
3.2062935359076614,1.5437755250133327,2.951016316285411,1.6960213835215452,1,6.699999999999992,1.0,1.731095526695477
3.2562935359076612,1.5452392236515713,3.000795811393274,1.3867809088378484,1,6.799999999999992,1,-0.9674922009009951
3.306293535907661,1.5580592781982132,3.050652072273447,1.29264019241254,1,6.8999999999999915,1.0,-0.9674922009009951
3.356293535907661,1.5735201166870763,3.0981901151980225,1.2200710849816256,1,6.999999999999991,1.0,-0.9674922009009951
3.4062935359076607,1.5923870287368314,3.14448204410128,1.1475019775507114,1,7.099999999999991,1,-1.452774554825529
3.4562935359076605,1.6214890019047425,3.1886127375374933,0.7576403557724067,1,7.19999999999999,1.0,-1.452774554825529
3.5062935359076604,1.6638829204451189,3.2144183497283376,0.335958567798805,1,7.29999999999999,1.0,-1.452774554825529
3.55629353590766,1.713125332421526,3.220611798888385,-0.08572322017479672,1,7.39999999999999,1,-2.9230211193206133
3.60629353590766,1.7668684541173167,3.2114783725054945,-0.11002134208924559,1,7.499999999999989,1.0,-2.84
3.65629353590766,1.816606832964454,3.206375111986671,-0.09446723388314905,1,7.599999999999989,1.0,-2.84
3.7062935359076596,1.866418568788627,3.2020460737046577,-0.07891312567705251,1,7.699999999999989,1,-2.915970860770982
3.7562935359076595,1.9162916108654924,3.198492304963792,-0.06335901747095597,1,7.799999999999988,1.0,-2.84
3.8062935359076593,1.9662138936391669,3.195714665511015,-0.04780490926485943,1,7.899999999999988,1.0,-2.84
3.856293535907659,2.016173339641192,3.193713827327875,-0.03225080105876289,1,7.999999999999988,1,-2.8702965614507043
3.906293535907659,2.066157862412379,3.192490274467959,-0.016696692852666353,1,8.099999999999987,1.0,-2.84
3.9562935359076588,2.116155369426833,3.192044302939787,-0.0011425846465698154,1,8.199999999999987,1.0,-2.84
4.006293535907659,2.166153765017441,3.1923760206352028,0.01441152355952686,1,8.299999999999986,1,-2.8233727278971363
4.056293535907659,2.2161404970211183,3.193504080340504,0.03079872582718994,1,8.399999999999986,1.0,-2.8233727278971363
4.106293535907659,2.2661018455854216,3.1954552677508095,0.047269476209909844,1,8.499999999999986,1.0,-2.8233727278971363
4.1562935359076585,2.3160242813375347,3.1982290541971854,0.06374022659262975,1,8.599999999999985,1,-2.7724206868266537
4.206293535907658,2.3658900213580125,3.201883302607253,0.0828237445200969,1,8.699999999999985,1.0,-2.7724206868266537
4.256293535907658,2.415675507322523,3.206501464524129,0.1021692878460344,1,8.799999999999985,1.0,-2.7724206868266537
4.306293535907658,2.4653623421884383,3.2120818294960825,0.12151483117197191,1,8.899999999999984,1,-2.7110225803087364
4.356293535907658,2.5149222498888624,3.218695676074906,0.14415044094682483,1,8.999999999999984,1.0,-2.7110225803087364
