System,3wrobotNI
Controller,N_CTRL
dt,0.1
state_init,[4.   4.   1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,4.0,4.0,1.57,1,0.1,-0.22000000000000003,-0.284
0.0011,3.9999998152309284,3.9998000521592365,1.5697418854166667,1,0.2,-0.22000000000000003,-0.284
0.0096811465068155,3.9999955242151817,3.9979122052715814,1.567304839808731,1,0.30000000000000004,-0.22000000000000003,-0.284
0.059681146506815504,3.999879021015421,3.9869129146665117,1.553104839808731,1,0.4,-0.22000000000000003,-0.284
0.10968114650681551,3.9996063448836936,3.975916387281127,1.538904839808731,1,0.5,11.279142171758366,-50.776520613507444
0.15968114650681553,4.009243289850458,4.0753590010001775,1.408553277308731,1,0.6,2.2,-2.84
0.20968114650681552,4.034646670626629,4.182290520546815,1.2665532773087311,1,0.7,11.62237974858063,-47.7389556167812
0.2596811465068155,4.074927662499601,4.284550597415266,1.1245532773087312,1,0.7999999999999999,2.2,-2.84
0.3096811465068155,4.129275403442529,4.38008072188819,0.9825532773087313,1,0.8999999999999999,2.2,-2.84
0.3596811465068155,4.196595865793079,4.466957859135685,0.8405532773087314,1,0.9999999999999999,12.258079682574367,-43.28049963867623
0.4096811465068155,4.275533879184004,4.54343316017665,0.6985532773087315,1,1.0999999999999999,2.2,-2.84
0.45968114650681546,4.36450041031307,4.607967166454526,0.5565532773087316,1,1.2,2.2,-2.84
0.5096811465068155,4.46170455040673,4.659260799354372,0.4145532773087315,1,1.3,12.902018243905946,-39.16360726712996
0.5596811465068156,4.565189566465398,4.6962815108379345,0.27255327730873136,1,1.4000000000000001,2.2,-2.84
0.6096811465068156,4.6728722905737,4.718284068780758,0.13055327730873126,1,1.5000000000000002,13.281255964361472,-36.5759168470222
0.6596811465068156,4.782585054363345,4.7248255585995675,-0.01144672269126884,1,1.6000000000000003,2.2,-2.84
0.7096811465068157,4.892119324481987,4.715774299185076,-0.15344672269126894,1,1.7000000000000004,13.589901946051647,-34.0837319422637
0.7596811465068157,4.99927016067996,4.691312493661216,-0.29544672269126904,1,1.8000000000000005,2.2,-2.84
0.8096811465068158,5.101880601567351,4.651932561610648,-0.43744672269126916,1,1.9000000000000006,13.808643992865143,-31.659917052402704
0.8596811465068158,5.197885084549882,4.598427226599371,-0.5794467226912693,1,2.0000000000000004,2.2,-2.84
0.9096811465068159,5.285351025894195,4.531873558539938,-0.7214467226912694,1,2.1000000000000005,13.924483964228514,-29.2774559032955
0.9596811465068159,5.362517723909977,4.453611292122762,-0.8634467226912695,1,2.2000000000000006,2.2,-2.84
1.0096811465068158,5.42783180212241,4.365215857768536,-1.0054467226912693,1,2.3000000000000007,2.2,-2.84
1.0596811465068159,5.479978478958891,4.268466667992478,-1.1474467226912695,1,2.400000000000001,13.892439933376055,-25.72310244771802
1.109681146506816,5.51790803448685,4.16531129758035,-1.2894467226912696,1,2.500000000000001,2.2,-2.84
1.159681146506816,5.5408569414235025,4.057826278634336,-1.4314467226912697,1,2.600000000000001,13.735654298634106,-23.327822088318634
1.209681146506816,5.548363235047344,3.94817529969003,-1.5734467226912698,1,2.700000000000001,2.2,-2.84
1.259681146506816,5.540275812612914,3.838565650362158,-1.71544672269127,1,2.800000000000001,-13.480243667228562,-20.880781445312294
1.309681146506816,5.560903712814836,3.9260848458251263,-1.85744672269127,1,2.9000000000000012,-2.2,-2.84
1.3596811465068162,5.599379538026028,4.029037711262324,-1.9994467226912702,1,3.0000000000000013,-13.796549726600274,-17.77351584910732
1.4096811465068162,5.652038327137518,4.1255091244204385,-2.14144672269127,1,3.1000000000000014,-2.2,-2.84
1.4596811465068162,5.717820051324677,4.213557102196062,-2.28344672269127,1,3.2000000000000015,-14.205284874693277,-14.763296350576761
1.5096811465068163,5.795400515235714,4.29140922642373,-2.42544672269127,1,3.3000000000000016,-2.2,-2.84
1.5596811465068163,5.883218013230196,4.35749832290266,-2.56744672269127,1,3.4000000000000017,-14.642410433435575,-11.886916562081712
1.6096811465068164,5.97950476673304,4.410494008833635,-2.7094467226912697,1,3.5000000000000018,-2.2,-2.84
1.6596811465068164,6.082322509865649,4.449329473611708,-2.8514467226912696,1,3.600000000000002,-15.071984591123785,-9.13591102770311
